# name: UN-dataset
# source: UN Data for SDGs revisions2.csv
# importDate: 2023-02-27T08:44:56.853Z
# description: undefined
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Adults, description: The average number of years of school attended by people over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Female Adults, description: The average number of years of school attended by females over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Male Adults, description: The average number of years of school attended by males over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Teen Birth Rate, description: Number of births for every 1&comma;000 women aged 15-19 (2015-2020)., type: numeric, unit: births/1&comma;000 teens, precision: 2, editable: true
# attribute -- name: Population Total in Millions, description: Number of residents expressed in millions, type: numeric, unit: million residents, precision: 2, editable: true
# attribute -- name: Medical Doctor Rate, description: Number of medical doctors per 10&comma;000 people (2001-2018)., type: numeric, unit: doctors / 10&comma;000 people, precision: 2, editable: true
# attribute -- name: Homicide Rate, description: Number of unlawful deaths per 100&comma;000 people (2013-2018)., type: numeric, unit: homicides/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Rate of Imprisonment, description: Number of prisoners being held by the criminal justice system per 100&comma;000 people (2013-2018)., type: numeric, unit: prisoners/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Carbon Dioxide Emissions per Person, description: Carbon dioxide emission produced by human activity per person (total emissions divided by the number of people living in the country) measured in tonnes. One tonnes =  Driving 23&comma;000 miles in the average car (once around the world) or 18 dairy cows in weight or 25 million plastic straws., type: numeric, unit: tonnes, precision: 2, editable: true
# attribute -- name: Land Losing Ecological Productivity, description: Percent of rain-fed or irrigated land with increasingly poor soil and plant life. The land is becoming less able to support agriculture&comma; biodiversity&comma; or forests due to over production and other human activities (2015)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Youth Not in School or Employment, description: Percentage of people ages 15–24 who are not employed or in school or professional training., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Immigrants, description: Percent of the country’s population that are immigrants. The exact meaning of  “immigrant” can vary by country&comma; but is generally defined as people that are foreign born and/or that are citizens of another country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Boundary, type: boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
Country,Region,Average Life Expectancy,Internet Users,Total Count of Medical Doctors,Urban Living,Forested Area,Average GNP per Person,Share of Income Owned by Top 1%,Average Years of Schooling for Adults,Average Years of Schooling for Female Adults,Average Years of Schooling for Male Adults,Teen Birth Rate,Population Total in Millions,Medical Doctor Rate,Homicide Rate,Rate of Imprisonment,Carbon Dioxide Emissions per Person,Land Losing Ecological Productivity,Youth Not in School or Employment,Immigrants,Boundary
Burundi,Africa,61.6,2.7,10000,13.4,10.9,752,14.6,11.1,11.0,11.1,55.6,11.5,1,6.1,98,0,29,4,2.8,[object Object]
Cambodia,Asia,69.8,40.0,20000,23.8,53,"4,389",..,11.5,11.0,11.9,50.2,16.5,2,..,191,1,33,17.3,0.5,[object Object]
Cameroon,Africa,59.3,23.2,10000,57.0,39,"3,653",16,12.1,11.3,12.9,105.8,25.9,1,1.4,130,0,0,16.8,2,[object Object]
Canada,North America,82.4,91.0,260000,81.5,38,"49,031",14,16.2,16.7,15.7,8.4,37.4,26,1.8,108,15,..,12.9,21.3,[object Object]
Cape Verde,Africa,73,58.2,80000,66.2,23,"7,172",..,12.7,13.0,12.4,73.8,0.5,8,6.8,288,1,17,30.9,2.8,[object Object]
Central African Republic,Africa,53.3,4.3,7000,41.8,35.6,945,30.9,7.6,6.2,8.9,129.1,4.7,0.7,20.1,17,0.1,13,20.6,1.9,[object Object]
Chad,Africa,54.2,6.5,0,23.3,4,"1,580",16,7.3,5.9,8.8,161.1,15.9,0,..,56,0,34,21.5,3.2,[object Object]
Chile,South America,80.2,82.3,260000,87.6,24,"24,226",24,16.4,16.7,16.2,41.1,19.0,26,4.4,246,5,1,16.4,5,[object Object]
China,Asia,76.9,54.3,200000,60.3,22,"16,117",14,14,14.0,14.0,7.6,"1,433.8",20,0.5,110,7,27,17.9,0.1,[object Object]
Colombia,South America,77.3,62.3,220000,81.1,53,"14,731",21,14.4,14.7,14.1,66.7,50.3,22,25.3,235,2,7,23,2.3,[object Object]
Comoros,Africa,64.3,8.5,30000,29.2,20,"3,081",14,11.2,11.1,11.4,65.4,0.9,3,..,27,0,22,27.2,1.5,[object Object]
Congo,Africa,64.6,8.7,20000,67.4,65,"3,298",20,11.7,11.6,11.9,112.2,5.4,2,..,26,1,10,19.6,7.5,[object Object]
Costa Rica,Central America,80.3,74.1,290000,80.1,55,"19,642",..,15.7,16.4,15.4,53.5,5.0,29,11.3,287,2,9,19.6,8.3,[object Object]
Côte d'Ivoire,Africa,57.8,46.8,20000,51.2,33,"5,238",17,10,9.0,10.9,117.6,25.7,2,..,66,0,14,35.1,9.9,[object Object]
Croatia,Europe,78.5,72.7,300000,57.2,34,"28,509",8,15.2,16.0,14.5,8.7,4.1,30,0.6,77,5,..,12.3,12.5,[object Object]
Cuba,Caribbean,78.8,57.1,840000,77.1,31,..,..,14.3,14.7,13.9,51.6,11.3,84,5.0,..,3,..,22.1,0,[object Object]
Cyprus,Asia,81,84.4,200000,66.8,19,"39,545",12,15.2,15.4,14.9,4.6,1.2,20,1.3,52,6,19,10.8,16,[object Object]
Czechia,Europe,79.4,80.7,410000,73.9,35,"40,314",10,16.8,17.5,16.1,12.0,10.7,41,0.6,202,10,6,5.8,4.8,[object Object]
Denmark,Europe,80.9,97.6,400000,88.0,15,"57,184",11,18.9,19.6,18.3,4.1,5.8,40,1.0,63,6,..,7.3,12.5,[object Object]
Djibouti,Africa,67.1,55.7,20000,77.9,0,"5,519",16,6.8,6.7,6.9,18.8,1.0,2,..,69,1,..,33.2,11.8,[object Object]
Dominica,Caribbean,78.2,69.6,110000,70.8,57,"12,156",..,13,..,..,..,0.1,11,26.6,268,3,..,..,11.5,[object Object]
Dominican Republic,Caribbean,74.1,74.8,160000,81.8,42,"18,419",..,14.2,15.0,13.5,94.3,10.7,16,10.0,245,2,..,25.1,5.3,[object Object]
DR Congo,Africa,60.7,8.6,10000,45.0,67,"1,098",18,9.7,8.6,10.8,124.2,86.8,1,..,27,0,6,21.7,1.1,[object Object]
East Timor,Asia,69.5,27.5,70000,30.9,45,"3,123",..,12.6,12.2,13.0,33.8,1.3,7,4.1,55,0,..,19.7,0.7,[object Object]
Ecuador,South America,77,57.3,200000,64.0,50,"11,375",..,14.6,14.9,14.3,79.3,17.4,20,5.8,220,3,30,18.9,2.2,[object Object]
Egypt,Africa,72,46.9,50000,42.7,0,"11,763",16,13.3,13.3,13.3,53.8,100.4,5,..,112,2,1,27.7,0.5,[object Object]
El Salvador,Central America,73.3,33.8,160000,72.7,13,"8,776",..,11.7,11.5,11.7,69.5,6.5,16,52.0,617,1,16,27.3,0.7,[object Object]
Equatorial Guinea,Africa,58.7,26.2,40000,72.6,56,"18,558",17,9.7,..,..,155.6,1.4,4,..,43,4,19,24.9,16.8,[object Object]
Eritrea,Africa,66.3,1.3,10000,40.7,15,..,14,5,4.6,5.4,52.6,3.5,1,..,..,0,35,25.6,0.5,[object Object]
Estonia,Europe,78.8,89.4,450000,69.1,51,"36,710",11,16,16.8,15.2,7.7,1.3,45,2.1,195,15,..,10.5,14.4,[object Object]
Eswatini,Africa,60.2,47.0,30000,24.0,34,"8,688",18,11.8,11.8,11.9,76.7,1.1,3,11.6,304,1,13,36,2.8,
Ethiopia,Africa,66.6,18.6,10000,21.2,13,"2,220",14,8.8,8.3,9.3,66.7,112.1,1,..,116,0,29,11.1,1.1,[object Object]
Fiji,Oceania,67.4,50.0,90000,56.8,56,"13,853",..,14.4,..,..,49.4,0.9,9,2.3,209,2,..,20.6,1.6,[object Object]
Finland,Europe,81.9,88.9,380000,85.4,73,"48,621",10,19.4,20.2,18.6,5.8,5.5,38,1.6,54,9,1,8.2,6.9,[object Object]
France,Europe,82.7,82.0,330000,80.7,31,"46,184",11,15.6,16.0,15.3,4.7,65.1,33,1.2,106,5,12,10.2,12.8,[object Object]
Gabon,Africa,66.5,62.0,70000,89.7,90,"14,870",11,13,12.6,13.4,96.2,2.2,7,..,173,3,16,30.3,18.9,[object Object]
Gambia,Africa,62.1,19.8,10000,61.9,48,"2,207",13,9.9,10.0,9.8,78.2,2.3,1,..,55,0,14,33.1,9.2,[object Object]
Georgia,Europe,73.8,64.0,710000,59.0,41,"15,014",..,15.3,15.5,15.0,46.4,4.0,71,2.2,239,3,6,25.9,2,[object Object]
Germany,Europe,81.3,89.7,430000,77.4,33,"53,815",13,17,16.9,17.0,8.1,83.5,43,0.9,79,9,..,5.4,15.7,[object Object]
Ghana,Africa,64.1,39.0,10000,56.7,41,"5,413",15,11.5,11.4,11.6,66.6,30.4,1,2.1,49,1,14,30.9,1.5,[object Object]
Greece,Europe,82.2,73.0,550000,79.4,32,"30,315",13,17.9,17.5,18.1,7.2,10.5,55,0.9,101,7,16,13.9,11.6,[object Object]
Grenada,Caribbean,72.4,59.1,140000,36.4,50,"17,242",..,16.9,17.0,16.2,29.2,0.1,14,10.8,414,2,..,..,6.4,[object Object]
Guatemala,Central America,74.3,65.0,40000,51.4,33,"8,638",..,10.8,10.6,10.9,70.9,17.6,4,22.5,141,1,24,27.6,0.5,[object Object]
Guinea,Africa,61.6,18.0,10000,36.5,26,"2,564",12,9.4,8.0,10.8,135.3,12.8,1,..,27,0,11,22.3,0.9,[object Object]
Guinea-Bissau,Africa,58.3,3.9,10000,43.8,70,"1,989",19,10.6,..,..,104.8,1.9,1,1.1,33,0,15,17.7,1.4,[object Object]
Guyana,South America,69.9,37.3,80000,26.7,84,"9,703",..,11.4,11.6,11.3,74.4,0.8,8,14.2,275,3,16,35.3,2,[object Object]
Haiti,Caribbean,64,32.5,20000,56.2,4,"1,729",..,9.7,9.0,10.4,51.7,11.3,2,6.7,80,0,..,27.6,0.2,[object Object]
Honduras,Central America,75.3,31.7,30000,57.7,40,"5,728",..,10.1,10.5,9.6,72.9,9.7,3,38.9,216,1,..,25.7,0.4,[object Object]
Hong Kong,Asia,84.9,89.4,,100.0,..,"59,893",..,16.9,17.1,16.8,2.7,7.4,..,0.7,112,6,..,6.4,39.6,[object Object]
Hungary,Europe,76.9,76.1,340000,71.6,23,"32,623",12,15.2,15.5,14.9,24.0,9.7,34,2.5,175,5,13,11.5,5.3,[object Object]
Iceland,Europe,83,99.0,410000,93.9,1,"55,874",8,19.1,20.2,18.0,6.3,0.3,41,0.9,40,11,..,4.7,15.5,[object Object]
India,Asia,69.7,34.5,90000,34.5,24,"6,754",21,12.2,12.6,11.7,13.2,"1,366.4",9,3.1,33,2,30,30.9,0.4,[object Object]
Indonesia,Asia,71.7,39.8,40000,56.0,50,"11,812",..,13.6,13.7,13.5,47.4,270.6,4,0.4,96,2,21,22,0.1,[object Object]
Iran,Asia,76.7,70.0,160000,75.4,7,"14,536",16,14.8,14.6,15.0,40.6,82.9,16,2.5,293,9,23,28,3.2,[object Object]
Iraq,Asia,70.6,49.4,70000,70.7,2,"10,881",22,11.3,10.4,12.2,71.7,39.3,7,10.1,105,5,26,44.6,0.9,[object Object]
Ireland,Europe,82.3,84.5,330000,63.4,11,"86,781",11,18.7,18.8,18.6,7.5,4.9,33,0.9,82,8,..,10,17.1,[object Object]
Israel,Asia,83,81.6,460000,92.5,8,"40,162",..,16.2,16.8,15.6,9.6,8.5,46,1.5,231,8,..,15.2,23,[object Object]
Italy,Europe,83.5,74.4,400000,70.7,32,"42,413",9,16.1,16.4,15.8,5.2,60.6,40,0.6,101,6,13,18.8,10.4,[object Object]
Jamaica,Caribbean,74.5,55.1,130000,56.0,31,"9,761",..,13.1,13.9,12.4,52.8,2.9,13,43.9,132,3,..,31,0.8,[object Object]
Japan,Asia,84.6,84.6,240000,91.7,69,"41,429",10,15.2,15.2,15.3,3.8,126.9,24,0.3,40,9,..,3,2,[object Object]
Jordan,Asia,74.5,66.8,230000,91.2,1,"9,906",16,11.4,11.6,11.1,25.9,10.1,23,1.4,160,2,4,32.5,33.1,[object Object]
Kazakhstan,Asia,73.6,78.9,400000,57.5,1,"26,351",..,15.6,15.8,15.1,29.8,18.6,40,5.1,201,18,36,10.5,20,[object Object]
Kenya,Africa,66.7,17.8,20000,27.5,8,"4,330",15,11.3,11.0,11.7,75.1,52.6,2,4.9,102,0,40,14.8,2,[object Object]
Kiribati,Oceania,68.4,14.6,20000,54.8,15,"2,275",..,11.8,12.2,11.4,16.2,0.1,2,..,114,1,..,..,2.6,[object Object]
Kuwait,Asia,75.5,99.6,270000,100.0,0,"49,846",20,14.2,15.2,13.2,8.2,4.2,27,..,148,24,64,27,72.1,[object Object]
Kyrgyzstan,Asia,71.5,38.0,220000,36.6,3,"5,253",..,13,13.2,12.7,32.8,6.4,22,2.2,177,2,24,20.5,3.1,[object Object]
Lao,Asia,67.9,25.5,40000,35.6,82,"7,826",..,11,10.7,11.3,65.4,7.2,4,..,122,3,..,6.8,0.7,[object Object]
Latvia,Europe,75.3,83.6,320000,68.2,54,"30,830",11,16.2,16.8,15.5,16.2,1.9,32,4.4,183,4,13,8.3,12.4,[object Object]
Lebanon,Asia,78.9,78.2,210000,88.8,13,"14,717",23,11.3,11.1,11.5,14.5,6.9,21,2.5,92,4,..,25.5,27.2,[object Object]
Lesotho,Africa,54.3,29.0,10000,28.6,2,"2,768",19,11.3,11.7,10.9,92.7,2.1,1,43.6,102,1,20,30.4,0.3,[object Object]
Liberia,Africa,64.1,8.0,0,51.6,43,"1,428",12,9.6,9.2,10.4,136.0,4.9,0,..,50,0,29,13.2,1.9,[object Object]
Libya,Africa,72.9,21.8,210000,80.4,0,"15,174",14,12.9,13.1,12.6,5.8,6.8,21,..,97,8,..,31.8,12.1,[object Object]
Liechtenstein,Europe,80.7,98.1,,14.4,43,..,..,14.9,13.8,16,..,0.0,..,2.6,166,4,..,..,67,[object Object]
Lithuania,Europe,75.9,79.7,640000,67.9,35,"36,975",10,16.6,17.1,16.2,10.9,2.8,64,4.6,232,5,3,8.5,4.2,[object Object]
Luxembourg,Europe,82.3,97.1,300000,91.2,36,"114,482",12,14.3,14.3,14.2,4.7,0.6,30,0.3,108,16,4,5.5,47.4,[object Object]
Macedonia,Europe,75.8,79.2,290000,58.2,40,"16,506",8,13.6,13.8,13.4,15.7,2.1,29,1.2,108,4,..,23.1,6.3,[object Object]
Madagascar,Africa,67,9.8,20000,37.9,21,"1,646",15,10.2,10.2,10.2,109.6,27.0,2,..,95,0,30,5.7,0.1,[object Object]
Malawi,Africa,64.3,13.8,0,17.2,33,"1,060",31,11.2,11.2,11.3,132.7,18.6,0,..,77,0,17,9.2,1.3,[object Object]
Malaysia,Asia,76.2,81.2,150000,76.6,68,"28,351",15,13.7,14.0,13.3,13.4,31.9,15,2.1,178,8,16,12.1,10.7,[object Object]
Maldives,Asia,78.9,63.2,460000,40.2,3,"18,914",..,12.2,12.3,12.1,7.8,0.5,46,0.7,373,3,..,21.9,13,[object Object]
Mali,Africa,59.3,13.0,10000,43.1,4,"2,327",10,7.5,6.8,8.1,169.1,19.7,1,..,31,0,3,26.5,2.4,[object Object]
Malta,Europe,82.5,81.4,290000,94.7,1,"43,340",11,16.1,16.5,15.7,12.9,0.4,29,1.6,141,4,..,7.1,19.3,[object Object]
Marshall Islands,Oceania,74.1,38.7,40000,77.4,70,"3,894",..,12.4,..,..,..,0.1,4,..,61,3,..,..,5.6,[object Object]
Mauritania,Africa,64.9,20.8,20000,54.5,0,"5,197",11,8.6,8.7,8.5,71.0,4.5,2,..,46,1,3,39.9,3.8,[object Object]
Mauritius,Africa,75,58.6,250000,40.8,19,"22,989",14,15.1,15.7,14.4,25.7,1.3,25,2.9,193,4,27,21,2.3,[object Object]
Mexico,North America,75.1,65.8,240000,80.4,34,"19,746",..,14.8,15.0,14.6,60.4,127.6,24,29.1,156,4,47,18.6,0.8,[object Object]
Micronesia,Oceania,67.9,35.3,20000,22.8,92,"3,469",..,11.5,..,..,13.9,0.1,2,..,123,1,..,..,2.5,[object Object]
Moldova,Europe,71.9,76.1,320000,42.7,13,"13,034",10,11.5,11.8,11.3,22.4,4.0,32,4.1,173,1,29,27.9,2.6,[object Object]
Monaco,Asia,..,97.1,751000,100.0,..,..,..,..,..,..,..,0.0,75.1,0.0,76,..,..,..,68,[object Object]
Mongolia,Asia,69.9,23.7,290000,68.5,8,"12,310",..,14.2,14.8,13.7,31.0,3.2,29,6.2,152,9,13,20.7,0.7,[object Object]
Montenegro,Europe,76.9,71.5,280000,67.2,62,"21,379",9,15,15.4,14.7,9.3,0.6,28,2.2,179,3,6,15.7,11.3,[object Object]
Morocco,Africa,76.7,64.8,70000,63.0,13,"7,515",15,13.7,13.3,14.1,31.0,36.5,7,1.4,233,2,19,22.1,0.3,[object Object]
Mozambique,Africa,60.9,10.0,10000,36.5,48,"1,280",31,10,9.5,10.5,148.6,30.4,1,..,64,0,..,17.7,1.1,[object Object]
Myanmar,Asia,67.1,30.7,70000,30.9,44,"5,142",..,10.7,10.9,10.5,28.5,54.0,7,2.3,171,1,23,19.6,0.1,[object Object]
Namibia,Africa,63.7,51.0,40000,51.0,8,"9,637",22,12.6,12.7,12.5,63.6,2.5,4,..,314,2,19,33.7,4.3,[object Object]
Nauru,Oceania,..,57.0,140000,100.0,0,"11,599",..,11.2,11.8,10.8,..,0.0,14,..,140,5,..,..,19.7,[object Object]
Nepal,Asia,70.8,34.0,80000,20.2,25,"3,417",..,12.8,13.0,12.6,65.1,28.6,8,2.3,68,0,..,16,1.7,[object Object]
Netherlands,Europe,82.3,94.7,360000,91.9,11,"57,141",6,18.5,18.8,18.2,3.8,17.1,36,0.6,66,10,..,3.1,13.4,[object Object]
New Zealand,Oceania,82.3,90.8,360000,86.6,39,"42,888",9,18.8,19.7,17.9,19.3,4.8,36,0.7,206,7,..,11.5,22.3,[object Object]
Nicaragua,Central America,74.5,27.9,100000,58.8,26,"5,407",..,12.3,12.6,12.1,85.0,6.5,10,7.2,324,1,..,16.7,0.6,[object Object]
Niger,Africa,62.4,5.3,0,16.5,1,"1,219",11,6.5,5.7,7.2,186.5,23.3,0,..,43,0,7,25.9,1.3,[object Object]
Nigeria,Africa,54.7,42.0,40000,51.2,7,"5,135",15,10,9.4,10.6,107.3,201.0,4,34.5,37,1,32,22,0.6,[object Object]
North Korea,Asia,72.3,0.0,368000,62.1,40.7,..,..,10.8,10.4,11.1,0.3,25.7,36.8,..,..,1.2,..,13.1,0.2,[object Object]
