# name: UN Data for SDGs revisions2
# source: UN Data for SDGs revisions2.csv
# importDate: 2022-08-30T17:04:58.769Z
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Adults, description: The average number of years of school attended by people over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Female Adults, description: The average number of years of school attended by females over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Average Years of Schooling for Male Adults, description: The average number of years of school attended by males over 25., type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Teen Birth Rate, description: Number of births for every 1&comma;000 women aged 15-19 (2015-2020)., type: numeric, unit: births/1&comma;000 teens, precision: 2, editable: true
# attribute -- name: Population Total in Millions, description: Number of residents expressed in millions, type: numeric, unit: million residents, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Medical Doctor Rate, description: Number of medical doctors per 10&comma;000 people (2001-2018)., type: numeric, unit: doctors / 10&comma;000 people, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true, formula: (`Medical Doctor Rate` * 10000)
# attribute -- name: Homicide Rate, description: Number of unlawful deaths per 100&comma;000 people (2013-2018)., type: numeric, unit: homicides/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Rate of Imprisonment, description: Number of prisoners being held by the criminal justice system per 100&comma;000 people (2013-2018)., type: numeric, unit: prisoners/100&comma;000 people, precision: 2, editable: true
# attribute -- name: Carbon Dioxide Emissions per Person, description: Carbon dioxide emission produced by human activity per person (total emissions divided by the number of people living in the country) measured in tonnes. One tonnes =  Driving 23&comma;000 miles in the average car (once around the world) or 18 dairy cows in weight or 25 million plastic straws., type: numeric, unit: tonnes, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Land Losing Ecological Productivity, description: Percent of rain-fed or irrigated land with increasingly poor soil and plant life. The land is becoming less able to support agriculture&comma; biodiversity&comma; or forests due to over production and other human activities (2015)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Youth Not in School or Employment, description: Percentage of people ages 15–24 who are not employed or in school or professional training., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Immigrants, description: Percent of the country’s population that are immigrants. The exact meaning of  “immigrant” can vary by country&comma; but is generally defined as people that are foreign born and/or that are citizens of another country., type: numeric, unit: %, precision: 2, editable: true
Country,Boundary,Region,Average Life Expectancy,Average Years of Schooling for Adults,Average Years of Schooling for Female Adults,Average Years of Schooling for Male Adults,Teen Birth Rate,Population Total in Millions,Urban Living,Internet Users,Medical Doctor Rate,Total Count of Medical Doctors,Homicide Rate,Rate of Imprisonment,Carbon Dioxide Emissions per Person,Forested Area,Share of Income Owned by Top 1%,Land Losing Ecological Productivity,Average GNP per Person,Youth Not in School or Employment,Immigrants
Cambodia,[object Object],Asia,69.8,11.5,11.0,11.9,50.2,16.5,23.8,40.0,2,20000,..,191,1,53,..,33,"4,389",17.3,0.5
Cameroon,[object Object],Africa,59.3,12.1,11.3,12.9,105.8,25.9,57.0,23.2,1,10000,1.4,130,0,39,16,0,"3,653",16.8,2
Canada,[object Object],North America,82.4,16.2,16.7,15.7,8.4,37.4,81.5,91.0,26,260000,1.8,108,15,38,14,..,"49,031",12.9,21.3
Cape Verde,[object Object],Africa,73,12.7,13.0,12.4,73.8,0.5,66.2,58.2,8,80000,6.8,288,1,23,..,17,"7,172",30.9,2.8
Central African Republic,[object Object],Africa,53.3,7.6,6.2,8.9,129.1,4.7,41.8,4.3,0.7,7000,20.1,17,0.1,35.6,30.9,13,945,20.6,1.9
Chad,[object Object],Africa,54.2,7.3,5.9,8.8,161.1,15.9,23.3,6.5,0,0,..,56,0,4,16,34,"1,580",21.5,3.2
Chile,[object Object],South America,80.2,16.4,16.7,16.2,41.1,19.0,87.6,82.3,26,260000,4.4,246,5,24,24,1,"24,226",16.4,5
China,[object Object],Asia,76.9,14,14.0,14.0,7.6,"1,433.8",60.3,54.3,20,200000,0.5,110,7,22,14,27,"16,117",17.9,0.1
Colombia,[object Object],South America,77.3,14.4,14.7,14.1,66.7,50.3,81.1,62.3,22,220000,25.3,235,2,53,21,7,"14,731",23,2.3
Comoros,[object Object],Africa,64.3,11.2,11.1,11.4,65.4,0.9,29.2,8.5,3,30000,..,27,0,20,14,22,"3,081",27.2,1.5
Congo,[object Object],Africa,64.6,11.7,11.6,11.9,112.2,5.4,67.4,8.7,2,20000,..,26,1,65,20,10,"3,298",19.6,7.5
Costa Rica,[object Object],Central America,80.3,15.7,16.4,15.4,53.5,5.0,80.1,74.1,29,290000,11.3,287,2,55,..,9,"19,642",19.6,8.3
Côte d'Ivoire,[object Object],Africa,57.8,10,9.0,10.9,117.6,25.7,51.2,46.8,2,20000,..,66,0,33,17,14,"5,238",35.1,9.9
Croatia,[object Object],Europe,78.5,15.2,16.0,14.5,8.7,4.1,57.2,72.7,30,300000,0.6,77,5,34,8,..,"28,509",12.3,12.5
Cuba,[object Object],Caribbean,78.8,14.3,14.7,13.9,51.6,11.3,77.1,57.1,84,840000,5.0,..,3,31,..,..,..,22.1,0
Cyprus,[object Object],Asia,81,15.2,15.4,14.9,4.6,1.2,66.8,84.4,20,200000,1.3,52,6,19,12,19,"39,545",10.8,16
Czechia,[object Object],Europe,79.4,16.8,17.5,16.1,12.0,10.7,73.9,80.7,41,410000,0.6,202,10,35,10,6,"40,314",5.8,4.8
Denmark,[object Object],Europe,80.9,18.9,19.6,18.3,4.1,5.8,88.0,97.6,40,400000,1.0,63,6,15,11,..,"57,184",7.3,12.5
Djibouti,[object Object],Africa,67.1,6.8,6.7,6.9,18.8,1.0,77.9,55.7,2,20000,..,69,1,0,16,..,"5,519",33.2,11.8
Dominica,[object Object],Caribbean,78.2,13,..,..,..,0.1,70.8,69.6,11,110000,26.6,268,3,57,..,..,"12,156",..,11.5
Dominican Republic,[object Object],Caribbean,74.1,14.2,15.0,13.5,94.3,10.7,81.8,74.8,16,160000,10.0,245,2,42,..,..,"18,419",25.1,5.3
DR Congo,[object Object],Africa,60.7,9.7,8.6,10.8,124.2,86.8,45.0,8.6,1,10000,..,27,0,67,18,6,"1,098",21.7,1.1
East Timor,[object Object],Asia,69.5,12.6,12.2,13.0,33.8,1.3,30.9,27.5,7,70000,4.1,55,0,45,..,..,"3,123",19.7,0.7
Ecuador,[object Object],South America,77,14.6,14.9,14.3,79.3,17.4,64.0,57.3,20,200000,5.8,220,3,50,..,30,"11,375",18.9,2.2
Egypt,[object Object],Africa,72,13.3,13.3,13.3,53.8,100.4,42.7,46.9,5,50000,..,112,2,0,16,1,"11,763",27.7,0.5
El Salvador,[object Object],Central America,73.3,11.7,11.5,11.7,69.5,6.5,72.7,33.8,16,160000,52.0,617,1,13,..,16,"8,776",27.3,0.7
Equatorial Guinea,[object Object],Africa,58.7,9.7,..,..,155.6,1.4,72.6,26.2,4,40000,..,43,4,56,17,19,"18,558",24.9,16.8
Eritrea,[object Object],Africa,66.3,5,4.6,5.4,52.6,3.5,40.7,1.3,1,10000,..,..,0,15,14,35,..,25.6,0.5
Estonia,[object Object],Europe,78.8,16,16.8,15.2,7.7,1.3,69.1,89.4,45,450000,2.1,195,15,51,11,..,"36,710",10.5,14.4
Eswatini,,Africa,60.2,11.8,11.8,11.9,76.7,1.1,24.0,47.0,3,30000,11.6,304,1,34,18,13,"8,688",36,2.8
Ethiopia,[object Object],Africa,66.6,8.8,8.3,9.3,66.7,112.1,21.2,18.6,1,10000,..,116,0,13,14,29,"2,220",11.1,1.1
Fiji,[object Object],Oceania,67.4,14.4,..,..,49.4,0.9,56.8,50.0,9,90000,2.3,209,2,56,..,..,"13,853",20.6,1.6
Finland,[object Object],Europe,81.9,19.4,20.2,18.6,5.8,5.5,85.4,88.9,38,380000,1.6,54,9,73,10,1,"48,621",8.2,6.9
France,[object Object],Europe,82.7,15.6,16.0,15.3,4.7,65.1,80.7,82.0,33,330000,1.2,106,5,31,11,12,"46,184",10.2,12.8
Gabon,[object Object],Africa,66.5,13,12.6,13.4,96.2,2.2,89.7,62.0,7,70000,..,173,3,90,11,16,"14,870",30.3,18.9
Gambia,[object Object],Africa,62.1,9.9,10.0,9.8,78.2,2.3,61.9,19.8,1,10000,..,55,0,48,13,14,"2,207",33.1,9.2
Georgia,[object Object],Europe,73.8,15.3,15.5,15.0,46.4,4.0,59.0,64.0,71,710000,2.2,239,3,41,..,6,"15,014",25.9,2
Germany,[object Object],Europe,81.3,17,16.9,17.0,8.1,83.5,77.4,89.7,43,430000,0.9,79,9,33,13,..,"53,815",5.4,15.7
Ghana,[object Object],Africa,64.1,11.5,11.4,11.6,66.6,30.4,56.7,39.0,1,10000,2.1,49,1,41,15,14,"5,413",30.9,1.5
Greece,[object Object],Europe,82.2,17.9,17.5,18.1,7.2,10.5,79.4,73.0,55,550000,0.9,101,7,32,13,16,"30,315",13.9,11.6
Grenada,[object Object],Caribbean,72.4,16.9,17.0,16.2,29.2,0.1,36.4,59.1,14,140000,10.8,414,2,50,..,..,"17,242",..,6.4
Guatemala,[object Object],Central America,74.3,10.8,10.6,10.9,70.9,17.6,51.4,65.0,4,40000,22.5,141,1,33,..,24,"8,638",27.6,0.5
Guinea,[object Object],Africa,61.6,9.4,8.0,10.8,135.3,12.8,36.5,18.0,1,10000,..,27,0,26,12,11,"2,564",22.3,0.9
Guinea-Bissau,[object Object],Africa,58.3,10.6,..,..,104.8,1.9,43.8,3.9,1,10000,1.1,33,0,70,19,15,"1,989",17.7,1.4
Guyana,[object Object],South America,69.9,11.4,11.6,11.3,74.4,0.8,26.7,37.3,8,80000,14.2,275,3,84,..,16,"9,703",35.3,2
Haiti,[object Object],Caribbean,64,9.7,9.0,10.4,51.7,11.3,56.2,32.5,2,20000,6.7,80,0,4,..,..,"1,729",27.6,0.2
Honduras,[object Object],Central America,75.3,10.1,10.5,9.6,72.9,9.7,57.7,31.7,3,30000,38.9,216,1,40,..,..,"5,728",25.7,0.4
Hong Kong,[object Object],Asia,84.9,16.9,17.1,16.8,2.7,7.4,100.0,89.4,..,,0.7,112,6,..,..,..,"59,893",6.4,39.6
Hungary,[object Object],Europe,76.9,15.2,15.5,14.9,24.0,9.7,71.6,76.1,34,340000,2.5,175,5,23,12,13,"32,623",11.5,5.3
Iceland,[object Object],Europe,83,19.1,20.2,18.0,6.3,0.3,93.9,99.0,41,410000,0.9,40,11,1,8,..,"55,874",4.7,15.5
India,[object Object],Asia,69.7,12.2,12.6,11.7,13.2,"1,366.4",34.5,34.5,9,90000,3.1,33,2,24,21,30,"6,754",30.9,0.4
Indonesia,[object Object],Asia,71.7,13.6,13.7,13.5,47.4,270.6,56.0,39.8,4,40000,0.4,96,2,50,..,21,"11,812",22,0.1
Iran,[object Object],Asia,76.7,14.8,14.6,15.0,40.6,82.9,75.4,70.0,16,160000,2.5,293,9,7,16,23,"14,536",28,3.2
Iraq,[object Object],Asia,70.6,11.3,10.4,12.2,71.7,39.3,70.7,49.4,7,70000,10.1,105,5,2,22,26,"10,881",44.6,0.9
Ireland,[object Object],Europe,82.3,18.7,18.8,18.6,7.5,4.9,63.4,84.5,33,330000,0.9,82,8,11,11,..,"86,781",10,17.1
Israel,[object Object],Asia,83,16.2,16.8,15.6,9.6,8.5,92.5,81.6,46,460000,1.5,231,8,8,..,..,"40,162",15.2,23
Italy,[object Object],Europe,83.5,16.1,16.4,15.8,5.2,60.6,70.7,74.4,40,400000,0.6,101,6,32,9,13,"42,413",18.8,10.4
Jamaica,[object Object],Caribbean,74.5,13.1,13.9,12.4,52.8,2.9,56.0,55.1,13,130000,43.9,132,3,31,..,..,"9,761",31,0.8
Japan,[object Object],Asia,84.6,15.2,15.2,15.3,3.8,126.9,91.7,84.6,24,240000,0.3,40,9,69,10,..,"41,429",3,2
Jordan,[object Object],Asia,74.5,11.4,11.6,11.1,25.9,10.1,91.2,66.8,23,230000,1.4,160,2,1,16,4,"9,906",32.5,33.1
Kazakhstan,[object Object],Asia,73.6,15.6,15.8,15.1,29.8,18.6,57.5,78.9,40,400000,5.1,201,18,1,..,36,"26,351",10.5,20
Kenya,[object Object],Africa,66.7,11.3,11.0,11.7,75.1,52.6,27.5,17.8,2,20000,4.9,102,0,8,15,40,"4,330",14.8,2
Kiribati,[object Object],Oceania,68.4,11.8,12.2,11.4,16.2,0.1,54.8,14.6,2,20000,..,114,1,15,..,..,"2,275",..,2.6
Kuwait,[object Object],Asia,75.5,14.2,15.2,13.2,8.2,4.2,100.0,99.6,27,270000,..,148,24,0,20,64,"49,846",27,72.1
Kyrgyzstan,[object Object],Asia,71.5,13,13.2,12.7,32.8,6.4,36.6,38.0,22,220000,2.2,177,2,3,..,24,"5,253",20.5,3.1
Lao,[object Object],Asia,67.9,11,10.7,11.3,65.4,7.2,35.6,25.5,4,40000,..,122,3,82,..,..,"7,826",6.8,0.7
Latvia,[object Object],Europe,75.3,16.2,16.8,15.5,16.2,1.9,68.2,83.6,32,320000,4.4,183,4,54,11,13,"30,830",8.3,12.4
Lebanon,[object Object],Asia,78.9,11.3,11.1,11.5,14.5,6.9,88.8,78.2,21,210000,2.5,92,4,13,23,..,"14,717",25.5,27.2
Lesotho,[object Object],Africa,54.3,11.3,11.7,10.9,92.7,2.1,28.6,29.0,1,10000,43.6,102,1,2,19,20,"2,768",30.4,0.3
Liberia,[object Object],Africa,64.1,9.6,9.2,10.4,136.0,4.9,51.6,8.0,0,0,..,50,0,43,12,29,"1,428",13.2,1.9
Libya,[object Object],Africa,72.9,12.9,13.1,12.6,5.8,6.8,80.4,21.8,21,210000,..,97,8,0,14,..,"15,174",31.8,12.1
Liechtenstein,[object Object],Europe,80.7,14.9,13.8,16,..,0.0,14.4,98.1,..,,2.6,166,4,43,..,..,..,..,67
Lithuania,[object Object],Europe,75.9,16.6,17.1,16.2,10.9,2.8,67.9,79.7,64,640000,4.6,232,5,35,10,3,"36,975",8.5,4.2
Luxembourg,[object Object],Europe,82.3,14.3,14.3,14.2,4.7,0.6,91.2,97.1,30,300000,0.3,108,16,36,12,4,"114,482",5.5,47.4
Macedonia,[object Object],Europe,75.8,13.6,13.8,13.4,15.7,2.1,58.2,79.2,29,290000,1.2,108,4,40,8,..,"16,506",23.1,6.3
Madagascar,[object Object],Africa,67,10.2,10.2,10.2,109.6,27.0,37.9,9.8,2,20000,..,95,0,21,15,30,"1,646",5.7,0.1
Malawi,[object Object],Africa,64.3,11.2,11.2,11.3,132.7,18.6,17.2,13.8,0,0,..,77,0,33,31,17,"1,060",9.2,1.3
Malaysia,[object Object],Asia,76.2,13.7,14.0,13.3,13.4,31.9,76.6,81.2,15,150000,2.1,178,8,68,15,16,"28,351",12.1,10.7
Maldives,[object Object],Asia,78.9,12.2,12.3,12.1,7.8,0.5,40.2,63.2,46,460000,0.7,373,3,3,..,..,"18,914",21.9,13
Mali,[object Object],Africa,59.3,7.5,6.8,8.1,169.1,19.7,43.1,13.0,1,10000,..,31,0,4,10,3,"2,327",26.5,2.4
Malta,[object Object],Europe,82.5,16.1,16.5,15.7,12.9,0.4,94.7,81.4,29,290000,1.6,141,4,1,11,..,"43,340",7.1,19.3
Marshall Islands,[object Object],Oceania,74.1,12.4,..,..,..,0.1,77.4,38.7,4,40000,..,61,3,70,..,..,"3,894",..,5.6
Mauritania,[object Object],Africa,64.9,8.6,8.7,8.5,71.0,4.5,54.5,20.8,2,20000,..,46,1,0,11,3,"5,197",39.9,3.8
Mauritius,[object Object],Africa,75,15.1,15.7,14.4,25.7,1.3,40.8,58.6,25,250000,2.9,193,4,19,14,27,"22,989",21,2.3
Mexico,[object Object],North America,75.1,14.8,15.0,14.6,60.4,127.6,80.4,65.8,24,240000,29.1,156,4,34,..,47,"19,746",18.6,0.8
Micronesia,[object Object],Oceania,67.9,11.5,..,..,13.9,0.1,22.8,35.3,2,20000,..,123,1,92,..,..,"3,469",..,2.5
Moldova,[object Object],Europe,71.9,11.5,11.8,11.3,22.4,4.0,42.7,76.1,32,320000,4.1,173,1,13,10,29,"13,034",27.9,2.6
Monaco,[object Object],Asia,..,..,..,..,..,0.0,100.0,97.1,75.1,751000,0.0,76,..,..,..,..,..,..,68
Mongolia,[object Object],Asia,69.9,14.2,14.8,13.7,31.0,3.2,68.5,23.7,29,290000,6.2,152,9,8,..,13,"12,310",20.7,0.7
Montenegro,[object Object],Europe,76.9,15,15.4,14.7,9.3,0.6,67.2,71.5,28,280000,2.2,179,3,62,9,6,"21,379",15.7,11.3
Morocco,[object Object],Africa,76.7,13.7,13.3,14.1,31.0,36.5,63.0,64.8,7,70000,1.4,233,2,13,15,19,"7,515",22.1,0.3
Mozambique,[object Object],Africa,60.9,10,9.5,10.5,148.6,30.4,36.5,10.0,1,10000,..,64,0,48,31,..,"1,280",17.7,1.1
Myanmar,[object Object],Asia,67.1,10.7,10.9,10.5,28.5,54.0,30.9,30.7,7,70000,2.3,171,1,44,..,23,"5,142",19.6,0.1
Namibia,[object Object],Africa,63.7,12.6,12.7,12.5,63.6,2.5,51.0,51.0,4,40000,..,314,2,8,22,19,"9,637",33.7,4.3
Nauru,[object Object],Oceania,..,11.2,11.8,10.8,..,0.0,100.0,57.0,14,140000,..,140,5,0,..,..,"11,599",..,19.7
Nepal,[object Object],Asia,70.8,12.8,13.0,12.6,65.1,28.6,20.2,34.0,8,80000,2.3,68,0,25,..,..,"3,417",16,1.7
Netherlands,[object Object],Europe,82.3,18.5,18.8,18.2,3.8,17.1,91.9,94.7,36,360000,0.6,66,10,11,6,..,"57,141",3.1,13.4
New Zealand,[object Object],Oceania,82.3,18.8,19.7,17.9,19.3,4.8,86.6,90.8,36,360000,0.7,206,7,39,9,..,"42,888",11.5,22.3
Nicaragua,[object Object],Central America,74.5,12.3,12.6,12.1,85.0,6.5,58.8,27.9,10,100000,7.2,324,1,26,..,..,"5,407",16.7,0.6
Niger,[object Object],Africa,62.4,6.5,5.7,7.2,186.5,23.3,16.5,5.3,0,0,..,43,0,1,11,7,"1,219",25.9,1.3
Nigeria,[object Object],Africa,54.7,10,9.4,10.6,107.3,201.0,51.2,42.0,4,40000,34.5,37,1,7,15,32,"5,135",22,0.6
North Korea,[object Object],Asia,72.3,10.8,10.4,11.1,0.3,25.7,62.1,0.0,36.8,368000,..,..,1.2,40.7,..,..,..,13.1,0.2
Norway,[object Object],Europe,82.4,18.1,18.8,17.4,5.1,5.4,82.6,96.5,29,290000,0.5,80,8,33,9,..,"63,633",4.6,16.1
