"","PlayerShort","Height","Weight","Position1","Club","Country","Rater1","Rater2","Rater","Skintone","Position","Games","Victories","Ties","Defeats","Goals","YellowCards","YellowReds","RedCards","RedCardsRate"
"20","jonathan-obika",183,76,"Center Forward","Tottenham Hotspur","England",0.75,0.75,0.75,"dark","Att",125,49,29,47,23,10,0,0,0
"21","romelu-lukaku",193,95,"Center Forward","West Bromwich Albion","England",0.75,0.75,0.75,"dark","Att",211,103,45,63,79,12,1,0,0
"22","cheick-diabate",194,84,"Center Forward","Girondins Bordeaux","France",0.75,0.75,0.75,"dark","Att",155,61,48,46,61,19,0,1,0.00645161290322581
"23","nicolas-maurice-belay",182,76,"Left Winger","Girondins Bordeaux","France",0.75,0.75,0.75,"dark","Att",287,101,84,102,11,25,2,0,0
"24","salomon-kalou",184,77,"Left Winger","Lille OSC","France",0.75,0.75,0.75,"dark","Att",454,273,99,82,148,22,0,0,0
"25","john-utaka",179,82,"Right Winger","Montpellier HSC","France",0.75,0.75,0.75,"dark","Att",427,183,101,143,88,33,0,2,0.00468384074941452
"26","alexandre-lacazette",174,73,"Center Forward","Olympique Lyon","France",0.75,0.75,0.75,"dark","Att",153,77,31,45,42,18,2,1,0.0065359477124183
"27","wesley-jobello",179,68,"Left Winger","Olympique Marseille","France",0.75,0.75,0.75,"dark","Att",3,0,0,3,0,0,0,0,0
"28","toifilou-maoulida",184,77,"Center Forward","SC Bastia","France",0.75,0.75,0.75,"dark","Att",448,157,122,169,99,44,2,2,0.00446428571428571
"29","yannick-djalo",171,62,"Center Forward","Toulouse FC","France",0.75,0.75,0.75,"dark","Att",167,73,46,48,29,10,0,0,0
"30","junior-fernandes",181,78,"Center Forward","Bayer Leverkusen","Germany",0.75,0.75,0.75,"dark","Att",158,78,30,50,42,19,0,1,0.00632911392405063
"31","olivier-occean",185,86,"Center Forward","Eintracht Frankfurt","Germany",0.75,0.75,0.75,"dark","Att",200,86,52,62,68,18,0,3,0.015
"32","knowledge-musona",174,68,"Center Forward","FC Augsburg","Germany",0.75,0.75,0.75,"dark","Att",40,8,10,22,5,4,0,0,0
"33","jefferson-farfan",178,84,"Left Winger","FC Schalke 04","Germany",0.75,0.75,0.75,"dark","Att",442,231,94,117,132,55,0,0,0
"34","cacau",178,74,"Left Winger","VfB Stuttgart","Germany",0.75,0.75,0.75,"dark","Att",414,183,85,146,123,79,1,2,0.00483091787439614
"35","johan-audel",180,75,"Left Winger","VfB Stuttgart","Germany",0.75,0.75,0.75,"dark","Att",130,42,35,53,28,18,0,0,0
"36","eljero-elia",176,77,"Left Winger","Werder Bremen","Germany",0.75,0.75,0.75,"dark","Att",296,119,76,101,36,28,1,0,0
"37","odion-ighalo",188,70,"Center Forward","Granada CF","Spain",0.75,0.75,0.75,"dark","Att",127,42,23,62,27,17,1,0,0
"38","nabil-el-zhar",168,67,"Right Winger","Levante UD","Spain",0.75,0.75,0.75,"dark","Att",160,61,37,62,14,24,0,0,0
"39","giovani-dos-santos",175,74,"Right Winger","RCD Mallorca","Spain",0.75,0.75,0.75,"dark","Att",251,109,57,85,53,20,0,0,0
"40","marouane-chamakh",185,70,"Center Forward","Arsenal FC","England",0.25,0.25,0.25,"light","Att",398,174,105,119,95,63,2,2,0.0050251256281407
"41","lucas-piazon",182,75,"Left Winger","Chelsea FC","England",0.25,0.25,0.25,"light","Att",54,25,13,16,12,5,0,0,0
"42","eden-hazard",170,69,"Right Winger","Chelsea FC","England",0.25,0.25,0.25,"light","Att",327,168,85,74,76,16,0,1,0.00305810397553517
"43","dimitar-berbatov",188,79,"Center Forward","Fulham FC","England",0.25,0.25,0.25,"light","Att",580,281,129,170,258,40,0,1,0.00172413793103448
"44","kun-agueero",172,74,"Center Forward","Manchester City","England",0.25,0.25,0.25,"light","Att",462,246,99,117,225,56,1,3,0.00649350649350649
"45","edin-dzeko",193,84,"Center Forward","Manchester City","England",0.25,0.25,0.25,"light","Att",359,187,70,102,182,41,0,0,0
"46","robin-van-persie",183,71,"Right Winger","Manchester United","England",0.25,0.25,0.25,"light","Att",509,305,110,94,236,72,2,3,0.00589390962671906
"47","xisco_2",188,85,"Center Forward","Newcastle United","England",0.25,0.25,0.25,"light","Att",166,68,28,70,46,26,0,0,0
"48","gabriel-obertan",186,79,"Right Winger","Newcastle United","England",0.25,0.25,0.25,"light","Att",168,85,38,45,7,4,0,0,0
"49","gareth-bale",183,74,"Left Winger","Tottenham Hotspur","England",0.25,0.25,0.25,"light","Att",336,162,78,96,93,32,0,1,0.00297619047619048
"50","markus-rosenberg",185,76,"Center Forward","West Bromwich Albion","England",0.25,0.25,0.25,"light","Att",337,147,69,121,90,36,1,0,0
"51","zoltan-gera",181,76,"Left Winger","West Bromwich Albion","England",0.25,0.25,0.25,"light","Att",392,150,96,146,71,44,1,1,0.00255102040816327
"52","franco-di-santo",194,78,"Center Forward","Wigan Athletic","England",0.25,0.25,0.25,"light","Att",177,52,52,73,21,20,0,1,0.00564971751412429
"53","adrian-mutu",180,74,"Left Winger","AC Ajaccio","France",0.25,0.25,0.25,"light","Att",453,199,120,134,178,90,2,3,0.00662251655629139
"54","danijel-aleksic",181,77,"Center Forward","AS Saint-_tienne","France",0.25,0.25,0.25,"light","Att",48,16,13,19,8,8,1,0,0
"55","julien-quercia",168,65,"Left Winger","FC Lorient","France",0.25,0.25,0.25,"light","Att",129,36,43,50,14,9,0,0,0
"56","ludovic-giuly",164,62,"Right Winger","FC Lorient","France",0.25,0.25,0.25,"light","Att",603,294,151,158,133,45,0,3,0.00497512437810945
"57","gianni-bruno",180,74,"Center Forward","Lille OSC","France",0.25,0.25,0.25,"light","Att",63,17,20,26,12,11,0,1,0.0158730158730159
"58","nolan-roux",182,78,"Center Forward","Lille OSC","France",0.25,0.25,0.25,"light","Att",169,75,52,42,47,26,1,0,0
"59","tulio",191,83,"Center Forward","Lille OSC","France",0.25,0.25,0.25,"light","Att",199,91,53,55,49,15,3,0,0
"60","karim-ait-fana",175,65,"Left Winger","Montpellier HSC","France",0.25,0.25,0.25,"light","Att",111,49,28,34,16,12,1,0,0
"61","ezequiel-lavezzi",173,71,"Center Forward","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Att",396,195,97,104,97,62,0,4,0.0101010101010101
"62","zlatan-ibrahimovic",192,84,"Center Forward","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Att",607,377,135,95,330,94,4,6,0.00988467874794069
"63","jeremy-menez",182,73,"Left Winger","Paris Saint-Germain","France",0.25,0.25,0.25,"light","Att",358,174,85,99,53,66,1,1,0.00279329608938547
"64","ilan",180,69,"Right Winger","SC Bastia","France",0.25,0.25,0.25,"light","Att",274,94,71,109,75,21,1,3,0.0109489051094891
"65","nicolas-fauvergue",191,81,"Center Forward","Stade Reims","France",0.25,0.25,0.25,"light","Att",254,89,92,73,56,49,0,0,0
"66","gregory-pujol",183,70,"Center Forward","Valenciennes FC","France",0.25,0.25,0.25,"light","Att",310,94,97,119,76,15,0,1,0.0032258064516129
"67","anthony-le-tallec",184,73,"Right Winger","Valenciennes FC","France",0.25,0.25,0.25,"light","Att",313,84,81,148,46,27,0,3,0.00958466453674121
"68","adam-szalai",193,87,"Center Forward","1. FSV Mainz 05","Germany",0.25,0.25,0.25,"light","Att",182,83,40,59,51,18,1,0,0
"69","nikita-rukavytsya",183,74,"Left Winger","1. FSV Mainz 05","Germany",0.25,0.25,0.25,"light","Att",168,62,46,60,31,3,0,0,0
"70","sven-schipplock",185,79,"Center Forward","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Att",198,69,50,79,68,33,1,1,0.00505050505050505
"71","kevin-volland",179,74,"Left Winger","1899 Hoffenheim","Germany",0.25,0.25,0.25,"light","Att",180,73,40,67,58,25,0,1,0.00555555555555556
"72","claudio-pizarro",184,84,"Center Forward","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Att",619,333,136,150,264,54,3,2,0.00323101777059774
"73","mario-mandzukic",187,84,"Center Forward","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Att",282,162,53,67,122,52,1,1,0.00354609929078014
"74","mario-gomez",189,88,"Center Forward","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Att",453,254,86,113,251,36,1,0,0
"75","arjen-robben",180,80,"Right Winger","Bayern M_nchen","Germany",0.25,0.25,0.25,"light","Att",521,347,80,94,170,50,2,2,0.00383877159309021
"76","lukas-rupp",178,73,"Right Winger","Bor. M_nchengladbach","Germany",0.25,0.25,0.25,"light","Att",151,65,42,44,23,9,1,0,0
"77","karim-matmour",181,75,"Right Winger","Eintracht Frankfurt","Germany",0.25,0.25,0.25,"light","Att",278,117,65,96,28,38,2,0,0
"78","ken-ilsoe",183,77,"Center Forward","Fortuna D_sseldorf","Germany",0.25,0.25,0.25,"light","Att",172,62,44,66,34,18,0,0,0
"79","marcus-berg",184,76,"Center Forward","Hamburger SV","Germany",0.25,0.25,0.25,"light","Att",241,119,52,70,94,26,0,1,0.004149377593361
"80","mohammed-abdellaoue",182,82,"Center Forward","Hannover 96","Germany",0.25,0.25,0.25,"light","Att",223,83,44,96,74,8,0,0,0
"81","marco-terrazzino",176,74,"Center Forward","SC Freiburg","Germany",0.25,0.25,0.25,"light","Att",118,38,28,52,21,8,0,0,0
"82","max-kruse",180,82,"Center Forward","SC Freiburg","Germany",0.25,0.25,0.25,"light","Att",258,116,46,96,57,18,0,0,0
"83","shinji-okazaki",173,70,"Center Forward","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","Att",261,119,58,84,89,18,0,0,0
"84","vedad-ibisevic",188,80,"Center Forward","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","Att",312,125,65,122,127,47,0,4,0.0128205128205128
"85","tunay-torun",179,75,"Right Winger","VfB Stuttgart","Germany",0.25,0.25,0.25,"light","Att",156,47,47,62,25,21,1,1,0.00641025641025641
"86","bas-dost",192,85,"Center Forward","VfL Wolfsburg","Germany",0.25,0.25,0.25,"light","Att",184,72,49,63,83,11,0,0,0
"87","nils-petersen",188,80,"Center Forward","Werder Bremen","Germany",0.25,0.25,0.25,"light","Att",223,85,52,86,80,16,0,0,0
"88","aduriz",182,78,"Center Forward","Athletic Bilbao","Spain",0.25,0.25,0.25,"light","Att",322,125,82,115,105,68,3,4,0.0124223602484472
"89","pedro-martin",189,79,"Center Forward","Atl©tico Madrid","Spain",0.25,0.25,0.25,"light","Att",43,10,18,15,3,2,0,0,0
"90","diego-costa",189,81,"Center Forward","Atl©tico Madrid","Spain",0.25,0.25,0.25,"light","Att",232,113,53,66,93,68,1,4,0.0172413793103448
"91","sisi",168,68,"Left Winger","CA Osasuna","Spain",0.25,0.25,0.25,"light","Att",179,69,42,68,12,31,1,0,0
"92","joan-tomas",167,70,"Left Winger","Celta Vigo","Spain",0.25,0.25,0.25,"light","Att",103,52,27,24,17,12,0,0,0
"93","camunas",175,71,"Left Winger","Deportivo La Coru±a","Spain",0.25,0.25,0.25,"light","Att",220,57,59,104,24,28,0,1,0.00454545454545455
"94","bruno-gama",175,68,"Right Winger","Deportivo La Coru±a","Spain",0.25,0.25,0.25,"light","Att",221,84,55,82,32,28,0,0,0
"95","sergio-garcia",174,72,"Center Forward","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","Att",313,111,88,114,73,41,2,2,0.00638977635782748
"96","christian-stuani",186,77,"Center Forward","Espanyol Barcelona","Spain",0.25,0.25,0.25,"light","Att",207,61,64,82,63,49,1,1,0.00483091787439614
"97","david-villa",175,69,"Center Forward","FC Barcelona","Spain",0.25,0.25,0.25,"light","Att",553,339,107,107,281,62,2,5,0.00904159132007233
"98","cristian-tello",178,65,"Left Winger","FC Barcelona","Spain",0.25,0.25,0.25,"light","Att",140,90,28,22,29,6,0,0,0
"99","adrian-colunga",171,69,"Center Forward","Getafe CF","Spain",0.25,0.25,0.25,"light","Att",178,53,43,82,39,22,1,0,0
"100","diego-castro",174,67,"Left Winger","Getafe CF","Spain",0.25,0.25,0.25,"light","Att",200,63,48,89,38,30,1,0,0
"101","javier-saviola",168,60,"Center Forward","Mlaga CF","Spain",0.25,0.25,0.25,"light","Att",490,286,106,98,165,36,1,2,0.00408163265306122
"102","alejandro-dominguez_2",175,73,"Right Winger","Rayo Vallecano","Spain",0.25,0.25,0.25,"light","Att",197,104,41,52,45,36,0,1,0.0050761421319797
"103","arizmendi",189,76,"Center Forward","RCD Mallorca","Spain",0.25,0.25,0.25,"light","Att",270,100,72,98,36,35,2,0,0
"104","alvaro_8",182,80,"Center Forward","RCD Mallorca","Spain",0.25,0.25,0.25,"light","Att",29,9,10,10,3,5,0,0,0
"105","jorge-molina_2",188,87,"Center Forward","Real Betis","Spain",0.25,0.25,0.25,"light","Att",186,71,38,77,81,16,0,2,0.010752688172043
"106","ruben-castro",172,69,"Right Winger","Real Betis","Spain",0.25,0.25,0.25,"light","Att",349,121,88,140,126,29,0,1,0.00286532951289398
"107","angel-di-maria",180,70,"Left Winger","Real Madrid","Spain",0.25,0.25,0.25,"light","Att",391,242,79,70,69,62,3,3,0.00767263427109974
"108","cristiano-ronaldo",185,80,"Left Winger","Real Madrid","Spain",0.25,0.25,0.25,"light","Att",650,435,118,97,420,93,3,5,0.00769230769230769
"109","antoine-griezmann",176,68,"Left Winger","Real Sociedad","Spain",0.25,0.25,0.25,"light","Att",219,94,53,72,58,29,0,0,0
"110","bueno",178,64,"Center Forward","Real Valladolid","Spain",0.25,0.25,0.25,"light","Att",165,56,38,71,32,13,0,0,0
"111","helder-postiga",182,74,"Center Forward","Real Zaragoza","Spain",0.25,0.25,0.25,"light","Att",394,172,95,127,96,58,2,1,0.00253807106598985
"112","aranda",184,82,"Center Forward","Real Zaragoza","Spain",0.25,0.25,0.25,"light","Att",199,73,40,86,35,37,1,1,0.0050251256281407
"113","nelson-valdez",178,73,"Center Forward","Valencia CF","Spain",0.25,0.25,0.25,"light","Att",461,209,107,145,113,75,1,2,0.00433839479392625
"114","jonas",181,73,"Center Forward","Valencia CF","Spain",0.25,0.25,0.25,"light","Att",289,128,66,95,104,36,2,5,0.0173010380622837
"115","radamel-falcao",177,72,"Center Forward","Atl©tico Madrid","Spain",0.5,0.25,0.375,"light","Att",344,192,75,77,210,54,0,2,0.00581395348837209
"116","bodipo",181,76,"Center Forward","Deportivo La Coru±a","Spain",0.5,0.25,0.375,"light","Att",220,67,53,100,41,28,1,3,0.0136363636363636
"117","alexis-sanchez",170,73,"Right Winger","FC Barcelona","Spain",0.5,0.25,0.375,"light","Att",373,215,67,91,96,60,2,2,0.00536193029490617
"118","carlos-vela",177,75,"Right Winger","Real Sociedad","Spain",0.5,0.25,0.375,"light","Att",264,119,60,85,69,33,0,1,0.00378787878787879
"119","joselu_2",191,80,"Center Forward","1899 Hoffenheim","Germany",0.25,0.5,0.375,"light","Att",95,30,24,41,27,9,0,1,0.0105263157894737
"120","eren-derdiyok",190,83,"Center Forward","1899 Hoffenheim","Germany",0.25,0.5,0.375,"light","Att",288,133,71,84,70,27,1,0,0
"121","dani-schahin",187,82,"Center Forward","Fortuna D_sseldorf","Germany",0.25,0.5,0.375,"light","Att",145,57,28,60,36,21,2,1,0.00689655172413793
"122","heung-min-son",183,76,"Right Winger","Hamburger SV","Germany",0.25,0.5,0.375,"light","Att",161,68,27,66,44,8,0,0,0
"123","soufian-benyamina",189,78,"Center Forward","VfB Stuttgart","Germany",0.25,0.5,0.375,"light","Att",161,55,56,50,41,8,0,1,0.0062111801242236
"124","chu-young-park",183,70,"Center Forward","Celta Vigo","Spain",0.25,0.5,0.375,"light","Att",180,65,52,63,51,20,0,0,0
"125","nelson-oliveira_2",184,75,"Center Forward","Deportivo La Coru±a","Spain",0.25,0.5,0.375,"light","Att",135,43,40,52,25,20,1,1,0.00740740740740741
"126","paco-alcacer",174,71,"Center Forward","Getafe CF","Spain",0.25,0.5,0.375,"light","Att",77,34,22,21,24,7,0,0,0
"127","juanmi_4",170,63,"Center Forward","Mlaga CF","Spain",0.25,0.5,0.375,"light","Att",90,34,22,34,16,9,1,0,0
"128","alvaro-vadillo",180,69,"Left Winger","Real Betis","Spain",0.25,0.5,0.375,"light","Att",55,19,12,24,2,9,1,0,0
"129","diego-ifran",174,76,"Center Forward","Real Sociedad","Spain",0.25,0.5,0.375,"light","Att",86,30,21,35,27,12,0,0,0
"130","jonathan-viera",171,65,"Right Winger","Valencia CF","Spain",0.25,0.5,0.375,"light","Att",114,45,28,41,22,22,1,3,0.0263157894736842
"131","theo-walcott",170,68,"Center Forward","Arsenal FC","England",0.5,0.5,0.5,"middle","Att",355,204,75,76,82,13,0,0,0
"132","gabriel-agbonlahor",178,76,"Right Winger","Aston Villa","England",0.5,0.5,0.5,"middle","Att",342,131,97,114,81,39,0,0,0
"133","ashkan-dejagah",181,74,"Left Winger","Fulham FC","England",0.5,0.5,0.5,"middle","Att",320,130,71,119,56,55,1,4,0.0125
"134","carlos-tevez",171,75,"Left Winger","Manchester City","England",0.5,0.5,0.5,"middle","Att",466,283,84,99,178,61,1,4,0.00858369098712446
"135","nani",175,66,"Right Winger","Manchester United","England",0.5,0.5,0.5,"middle","Att",343,214,64,65,61,27,0,3,0.0087463556851312
"136","bobby-zamora",186,75,"Center Forward","Queens Park Rangers","England",0.5,0.5,0.5,"middle","Att",396,157,86,153,98,35,1,1,0.00252525252525253
"137","peter-odemwingie",182,75,"Center Forward","West Bromwich Albion","England",0.5,0.5,0.5,"middle","Att",385,155,105,125,103,43,1,2,0.00519480519480519
"138","frederic-piquionne",188,77,"Center Forward","West Ham United","England",0.5,0.5,0.5,"middle","Att",389,132,118,139,82,32,3,4,0.0102827763496144
"139","brandao",189,78,"Center Forward","AS Saint-_tienne","France",0.5,0.5,0.5,"middle","Att",278,144,63,71,84,61,0,2,0.00719424460431655
"140","roy-contout",174,62,"Center Forward","FC Sochaux","France",0.5,0.5,0.5,"middle","Att",232,68,72,92,25,26,0,0,0
"141","david-bellion",181,72,"Center Forward","Girondins Bordeaux","France",0.5,0.5,0.5,"middle","Att",263,111,55,97,47,8,0,0,0
"142","jussie",180,76,"Left Winger","Girondins Bordeaux","France",0.5,0.5,0.5,"middle","Att",303,129,99,75,57,31,0,1,0.0033003300330033
"143","yoan-gouffran",175,70,"Right Winger","Girondins Bordeaux","France",0.5,0.5,0.5,"middle","Att",269,121,67,81,59,18,0,1,0.00371747211895911
"144","guillaume-hoarau",191,80,"Center Forward","Paris Saint-Germain","France",0.5,0.5,0.5,"middle","Att",175,71,56,48,52,15,1,0,0
"145","daniel-braaten",184,85,"Right Winger","Toulouse FC","France",0.5,0.5,0.5,"middle","Att",269,105,72,92,22,29,0,0,0
"146","shawn-parker",179,76,"Center Forward","1. FSV Mainz 05","Germany",0.5,0.5,0.5,"middle","Att",126,52,32,42,31,18,2,2,0.0158730158730159
"147","chinedu-ede",178,83,"Left Winger","1. FSV Mainz 05","Germany",0.5,0.5,0.5,"middle","Att",212,82,54,76,27,9,0,0,0
"148","karim-bellarabi",183,76,"Right Winger","Bayer Leverkusen","Germany",0.5,0.5,0.5,"middle","Att",124,48,30,46,24,15,0,0,0
"149","igor-de-camargo",187,83,"Center Forward","Bor. M_nchengladbach","Germany",0.5,0.5,0.5,"middle","Att",357,166,90,101,95,43,0,1,0.00280112044817927
"150","rui-fonte",181,73,"Center Forward","Espanyol Barcelona","Spain",0.5,0.5,0.5,"middle","Att",85,26,23,36,8,11,0,0,0
"151","fabian-orellana",169,70,"Right Winger","Granada CF","Spain",0.5,0.5,0.5,"middle","Att",251,103,57,91,46,37,3,5,0.0199203187250996
"152","angel_4",172,68,"Center Forward","Levante UD","Spain",0.5,0.5,0.5,"middle","Att",177,64,44,69,43,18,1,0,0
"153","pedro-rios",175,72,"Right Winger","Levante UD","Spain",0.5,0.5,0.5,"middle","Att",162,57,41,64,23,30,0,0,0
"154","roque-santa-cruz",191,83,"Center Forward","Mlaga CF","Spain",0.5,0.5,0.5,"middle","Att",533,250,133,150,134,17,0,0,0
"155","tomer-hemed",183,81,"Center Forward","RCD Mallorca","Spain",0.5,0.5,0.5,"middle","Att",112,34,27,51,32,9,0,0,0
"156","morata",190,82,"Center Forward","Real Madrid","Spain",0.5,0.5,0.5,"middle","Att",83,64,11,8,40,14,0,0,0
"157","marc-antoine-fortune",182,81,"Center Forward","West Bromwich Albion","England",1,0.75,0.875,"very dark","Att",333,132,88,113,56,8,0,1,0.003003003003003
"158","alex-nimely-tchuimeni",180,72,"Center Forward","Manchester City","England",0.75,1,0.875,"very dark","Att",34,6,15,13,2,3,0,0,0
"159","danny-welbeck",185,73,"Center Forward","Manchester United","England",0.75,1,0.875,"very dark","Att",209,115,38,56,51,12,0,0,0
"160","modibo-maiga",185,76,"Left Winger","West Ham United","England",0.75,1,0.875,"very dark","Att",217,64,51,102,50,25,1,2,0.00921658986175115
"161","sidney-govou",175,72,"Right Winger","_vian Thonon Gaillard","France",0.75,1,0.875,"very dark","Att",473,250,126,97,73,55,3,0,0
"162","jean-christophe-bahebeck",182,76,"Center Forward","ESTAC Troyes","France",0.75,1,0.875,"very dark","Att",91,33,23,35,14,7,0,1,0.010989010989011
"163","souleymane-camara",174,72,"Right Winger","Montpellier HSC","France",0.75,1,0.875,"very dark","Att",334,139,93,102,56,27,0,0,0
"164","jordan-ayew",182,81,"Right Winger","Olympique Marseille","France",0.75,1,0.875,"very dark","Att",162,67,42,53,24,24,2,1,0.00617283950617284
"165","larsen-toure",183,73,"Left Winger","Stade Brest","France",0.75,1,0.875,"very dark","Att",123,38,33,52,13,17,2,0,0
"166","peniel-mlapa",195,89,"Center Forward","Bor. M_nchengladbach","Germany",0.75,1,0.875,"very dark","Att",182,64,46,72,41,14,0,0,0
"167","dorge-kouemaha",188,86,"Center Forward","Eintracht Frankfurt","Germany",0.75,1,0.875,"very dark","Att",188,74,58,56,56,31,1,2,0.0106382978723404
"168","aristide-bance",190,96,"Center Forward","FC Augsburg","Germany",0.75,1,0.875,"very dark","Att",239,87,68,84,72,22,1,2,0.00836820083682008
"169","darren-bent",180,73,"Center Forward","Aston Villa","England",1,1,1,"very dark","Att",465,177,118,170,190,16,0,0,0
"170","mario-balotelli",189,88,"Center Forward","Manchester City","England",1,1,1,"very dark","Att",253,136,63,54,101,76,5,3,0.0118577075098814
"171","papiss-demba-cisse",183,73,"Center Forward","Newcastle United","England",1,1,1,"very dark","Att",230,81,49,100,97,25,0,1,0.00434782608695652
"172","demba-ba",190,82,"Center Forward","Newcastle United","England",1,1,1,"very dark","Att",245,114,60,71,98,15,0,1,0.00408163265306122
"173","djibril-cisse",183,78,"Center Forward","Queens Park Rangers","England",1,1,1,"very dark","Att",545,263,115,167,222,47,0,3,0.0055045871559633
"174","shaun-wright-phillips",168,64,"Right Winger","Queens Park Rangers","England",1,1,1,"very dark","Att",460,210,111,139,58,22,1,0,0
"175","kenwyne-jones",188,78,"Right Winger","Stoke City","England",1,1,1,"very dark","Att",367,127,82,158,91,16,0,2,0.00544959128065395
"176","louis-saha",184,75,"Center Forward","Sunderland AFC","England",1,1,1,"very dark","Att",441,201,116,124,122,20,0,1,0.00226757369614512
"177","emmanuel-adebayor",190,75,"Center Forward","Tottenham Hotspur","England",1,1,1,"very dark","Att",450,234,116,100,170,43,1,5,0.0111111111111111
"178","carlton-cole",190,88,"Center Forward","West Ham United","England",1,1,1,"very dark","Att",365,130,90,145,81,41,1,2,0.00547945205479452
"179","arouna-kone",181,81,"Center Forward","Wigan Athletic","England",1,1,1,"very dark","Att",328,160,61,107,95,12,0,0,0
"180","henri-saivet",174,73,"Right Winger","Girondins Bordeaux","France",1,1,1,"very dark","Att",146,59,51,36,20,1,0,0,0
"181","bafetimbi-gomis",184,77,"Center Forward","Olympique Lyon","France",1,1,1,"very dark","Att",372,158,102,112,129,19,1,0,0
"182","peguy-luyindula",178,72,"Left Winger","Paris Saint-Germain","France",1,1,1,"very dark","Att",475,197,122,156,106,17,1,0,0
"183","victor-montano",177,76,"Center Forward","Stade Rennes","France",1,1,1,"very dark","Att",213,85,59,69,53,45,0,2,0.00938967136150235
"184","dawda-bah",182,74,"Left Winger","FC Augsburg","Germany",1,1,1,"very dark","Att",111,62,21,28,23,14,0,1,0.00900900900900901
"185","chinedu-obasi",188,79,"Right Winger","FC Schalke 04","Germany",1,1,1,"very dark","Att",161,70,44,47,33,22,0,1,0.0062111801242236
"186","nando-rafael",180,82,"Center Forward","Fortuna D_sseldorf","Germany",1,1,1,"very dark","Att",248,109,57,82,66,43,1,1,0.00403225806451613
"187","didier-ya-konan",174,74,"Center Forward","Hannover 96","Germany",1,1,1,"very dark","Att",223,99,50,74,60,26,1,1,0.00448430493273543
"188","mame-diouf",185,79,"Left Winger","Hannover 96","Germany",1,1,1,"very dark","Att",169,70,36,63,65,21,1,1,0.00591715976331361
